Detuning_Normalizado,P2_Curva_A,P2_Curva_B
-9.480314960629922183e+00,7.516609099413071142e-04,2.221044532100573056e-04
-9.417322834645668550e+00,6.908004071929088261e-04,2.144078565717633708e-04
-9.354330708661416693e+00,6.419411611126734805e-04,2.735679781386316737e-04
-9.291338582677164837e+00,6.041638783055953629e-04,2.727845092470725531e-04
-9.228346456692914757e+00,5.824609532880134456e-04,1.865809053195046307e-04
-9.165354330708661124e+00,5.871017089551438606e-04,9.001773119619583792e-05
-9.102362204724409267e+00,6.295625188230960989e-04,7.918450595568101726e-05
-9.039370078740157410e+00,7.169332213733118275e-04,1.784668929083859919e-04
-8.976377952755903777e+00,8.480742894348113894e-04,3.110748495856658670e-04
-8.913385826771653697e+00,1.014342636195582001e-03,3.639499647097180560e-04
-8.850393700787401841e+00,1.205350580985534202e-03,3.051450108576588406e-04
-8.787401574803148208e+00,1.417088848130588488e-03,2.616758239027861151e-04
-8.724409448818896351e+00,1.657669720696314328e-03,4.786403369893511492e-04
-8.661417322834646271e+00,1.946471665895003599e-03,1.156716754265023827e-03
-8.598425196850394414e+00,2.305799627632445017e-03,2.260653023843235600e-03
-8.535433070866140781e+00,2.748787697519008630e-03,3.440495018272309892e-03
-8.472440944881888925e+00,3.270506037151039904e-03,4.164686875975411040e-03
-8.409448818897638844e+00,3.848743214637422375e-03,4.038957613340801028e-03
-8.346456692913385211e+00,4.456217059180100221e-03,3.144691379431842956e-03
-8.283464566929133355e+00,5.079071107570343364e-03,2.167541945025645237e-03
-8.220472440944881498e+00,5.731302671857205905e-03,2.162417056914820758e-03
-8.157480314960627865e+00,6.454900629339534873e-03,3.998332534189684949e-03
-8.094488188976377785e+00,7.302079799230386248e-03,7.747103099012119659e-03
-8.031496062992125928e+00,8.306436890097695577e-03,1.238779026167556585e-02
-7.968503937007874960e+00,9.458494897248721084e-03,1.609965506450837525e-02
-7.905511811023621327e+00,1.070215281510706121e-02,1.712362589490488626e-02
-7.842519685039369470e+00,1.195957817463732566e-02,1.482141027271399215e-02
-7.779527559055118502e+00,1.317624648311064087e-02,1.035191711795490493e-02
-7.716535433070864869e+00,1.436326539796596580e-02,6.473084219570694568e-03
-7.653543307086613900e+00,1.561006625102003692e-02,6.375245574045178450e-03
-7.590551181102362044e+00,1.705200379145874884e-02,1.199179129182313328e-02
-7.527559055118108411e+00,1.880112661838146196e-02,2.263015469170507124e-02
